Startzone,Endzone,Distanz (km),Zeit (h)
13.0,170.0,5.053653085131476,0.5053653085131475
13.0,186.0,4.620570618017258,0.4620570618017258
13.0,194.0,11.76994140616109,1.176994140616109
13.0,202.0,7.869080533662004,0.7869080533662004
13.0,209.0,1.137258974685183,0.11372589746851831
13.0,211.0,1.7907764791085499,0.17907764791085498
13.0,224.0,4.0201472917086285,0.40201472917086284
13.0,229.0,6.599549224520643,0.6599549224520642
13.0,230.0,6.148074635894845,0.6148074635894845
13.0,231.0,0.9479428789257409,0.09479428789257409
13.0,232.0,2.7440136502548302,0.274401365025483
13.0,233.0,5.73604573510749,0.573604573510749
13.0,234.0,3.934780668517041,0.39347806685170406
13.0,236.0,9.174960742996275,0.9174960742996274
13.0,237.0,7.379988717359158,0.7379988717359158
13.0,238.0,9.729730887095819,0.9729730887095819
13.0,239.0,8.565457848030965,0.8565457848030965
13.0,243.0,17.648547791250706,1.7648547791250706
13.0,244.0,15.916867121952247,1.5916867121952247
13.0,246.0,4.872302203495373,0.4872302203495373
13.0,249.0,2.8019131769514147,0.2801913176951415
13.0,261.0,0.41787993327747536,0.04178799332774753
13.0,262.0,9.232706213553323,0.9232706213553323
13.0,263.0,9.23105118030809,0.923105118030809
24.0,4.0,8.77524869081091,0.8775248690810911
24.0,12.0,11.83006682545846,1.1830066825458458
24.0,13.0,10.895039995083046,1.0895039995083047
24.0,41.0,1.1493914744259879,0.11493914744259878
24.0,42.0,2.840652717197214,0.2840652717197214
24.0,43.0,2.28017082148957,0.22801708214895702
24.0,48.0,4.708044020716569,0.4708044020716569
24.0,68.0,6.5396689781624575,0.6539668978162457
24.0,74.0,2.4983168140680188,0.24983168140680187
24.0,75.0,2.067035956122823,0.2067035956122823
24.0,79.0,8.435287093162389,0.8435287093162389
24.0,87.0,11.151153103146958,1.1151153103146958
24.0,88.0,11.597514535716993,1.1597514535716993
24.0,90.0,7.0007324901756895,0.700073249017569
24.0,100.0,5.902021377535052,0.5902021377535052
24.0,103.0,14.159769523161057,1.4159769523161057
24.0,104.0,13.104437543240063,1.3104437543240064
24.0,105.0,13.450406416048313,1.3450406416048313
24.0,107.0,7.353093555441823,0.7353093555441823
24.0,113.0,8.071157917307508,0.8071157917307508
24.0,114.0,8.52105422179744,0.852105422179744
24.0,116.0,3.246815050416427,0.32468150504164267
24.0,118.0,9.416577547869023,0.9416577547869023
24.0,120.0,5.896068832716575,0.5896068832716576
24.0,125.0,9.161822293414247,0.9161822293414247
24.0,127.0,8.161566104525512,0.8161566104525513
24.0,128.0,8.748287230741132,0.8748287230741132
24.0,137.0,6.8476513815672355,0.6847651381567236
24.0,140.0,4.056397356716435,0.40563973567164346
24.0,141.0,3.828419612122597,0.38284196121225966
24.0,142.0,3.4150374032351296,0.34150374032351294
24.0,143.0,3.4009527653306324,0.34009527653306326
24.0,144.0,9.408995764322041,0.9408995764322041
24.0,148.0,9.455668516178443,0.9455668516178444
24.0,151.0,0.3982223919082363,0.03982223919082363
24.0,152.0,2.1337878144804123,0.21337878144804123
24.0,153.0,9.589540281690915,0.9589540281690916
24.0,158.0,8.336149549869367,0.8336149549869367
24.0,161.0,4.905919182149257,0.49059191821492576
24.0,162.0,5.06375777609758,0.5063757776097579
24.0,163.0,4.230317468582757,0.4230317468582757
24.0,164.0,6.2064862427055765,0.6206486242705577
24.0,166.0,0.9311330352095321,0.0931133035209532
24.0,170.0,6.131369763702974,0.6131369763702974
24.0,186.0,6.2749899056279395,0.6274989905627939
24.0,194.0,3.6802010912932865,0.36802010912932864
24.0,202.0,4.631908667414763,0.46319086674147625
24.0,209.0,10.771727948797446,1.0771727948797447
24.0,211.0,9.221048326759602,0.9221048326759602
24.0,224.0,7.735150297073312,0.7735150297073312
24.0,229.0,4.994560219483567,0.4994560219483567
24.0,230.0,4.789936393371204,0.4789936393371204
24.0,231.0,10.018323256520937,1.0018323256520936
24.0,232.0,9.671440774977347,0.9671440774977347
24.0,233.0,5.753721066504336,0.5753721066504336
24.0,234.0,7.0719034459317385,0.7071903445931739
24.0,236.0,2.4213927639418973,0.24213927639418972
24.0,237.0,3.890374576962819,0.3890374576962819
24.0,238.0,1.1705687366183468,0.11705687366183468
24.0,239.0,2.3436258008565067,0.23436258008565067
24.0,243.0,6.754021315122149,0.6754021315122148
24.0,244.0,5.022890550593999,0.5022890550593999
24.0,246.0,6.160311006984085,0.6160311006984085
24.0,249.0,8.093173776965607,0.8093173776965606
24.0,261.0,11.195879195343833,1.1195879195343834
24.0,262.0,3.328430064054999,0.3328430064054999
24.0,263.0,2.8165971704304544,0.28165971704304543
41.0,4.0,9.248550808391,0.9248550808391001
41.0,12.0,12.534111402852902,1.2534111402852903
41.0,13.0,11.635930314722685,1.1635930314722684
41.0,24.0,1.1493914744259879,0.11493914744259878
41.0,42.0,1.8865800863529154,0.18865800863529153
41.0,43.0,2.849560516584916,0.2849560516584916
41.0,48.0,5.517104144849615,0.5517104144849615
41.0,68.0,7.344823055903134,0.7344823055903134
41.0,74.0,1.4442473965805247,0.14442473965805247
41.0,75.0,1.667034863161367,0.16670348631613668
41.0,79.0,9.003880214685564,0.9003880214685565
41.0,87.0,11.816143177308987,1.1816143177308986
41.0,88.0,12.277438378522032,1.2277438378522032
41.0,90.0,7.741037010228181,0.7741037010228181
41.0,100.0,6.594367567380175,0.6594367567380175
41.0,103.0,14.968326200428661,1.496832620042866
41.0,104.0,13.923182866476338,1.3923182866476338
41.0,105.0,14.136155483540287,1.4136155483540287
41.0,107.0,7.94670024518787,0.794670024518787
41.0,113.0,8.743742899650442,0.8743742899650442
41.0,114.0,9.202745276515937,0.9202745276515938
41.0,116.0,2.6474004997260834,0.26474004997260836
41.0,118.0,10.008116793785602,1.0008116793785602
41.0,120.0,5.151585833545359,0.5151585833545359
41.0,125.0,9.908794592346608,0.9908794592346608
41.0,127.0,7.428869329199332,0.7428869329199332
41.0,128.0,8.102344198861179,0.8102344198861179
41.0,137.0,7.358874131815139,0.735887413181514
41.0,140.0,4.2458417700873525,0.42458417700873524
41.0,141.0,4.136350167219219,0.41363501672192193
41.0,142.0,4.230429510081709,0.4230429510081709
41.0,143.0,4.326051213622148,0.4326051213622148
