georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.950308 40.706092),,0,Church Av,Queens,-73.950308,40.706092,Subway,G,Bk,Broadway,Crosstown,IND,G30,286,286
POINT (-73.964492 40.644031),,0,Brighton Beach & Coney Island,Manhattan,-73.964492,40.644031,Open Cut,Q,Bk,Beverley Rd,Broadway - Brighton,BMT,D29,45,45
POINT (-74.012994 40.703087),,0,Brooklyn,Uptown & Queens,-74.012994,40.703087,Subway,R W,M,Whitehall St-South Ferry,Broadway,BMT,R27,635,23
POINT (-73.976848 40.751776),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.976848,40.751776,Subway,4 5 6,M,Grand Central-42 St,Lexington Av,IRT,631,610,402
POINT (-73.85147 40.679843),,0,Lefferts - Rockaways,Manhattan,-73.85147,40.679843,Elevated,A,Q,88 St,Liberty Av,IND,A60,191,191
POINT (-73.867352 40.865462),,0,Manhattan,Wakefield - 241 St,-73.867352,40.865462,Elevated,2 5,Bx,Allerton Av,Lenox - White Plains Rd,IRT,210,423,423
POINT (-73.973946 40.686113),,0,Euclid Av,Manhattan,-73.973946,40.686113,Subway,C,Bk,Lafayette Av,8th Av - Fulton St,IND,A43,176,176
POINT (-73.914042 40.805368),,0,Manhattan,Pelham Bay Park,-73.914042,40.805368,Subway,6,Bx,Cypress Av,Pelham,IRT,617,375,375
POINT (-73.944216 40.824783),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.944216,40.824783,Subway,A C,M,145 St,8th Av - Fulton St,IND,A12,151,151
POINT (-73.846384 40.869526),,1,Manhattan,Eastchester - Dyre Av,-73.846384,40.869526,Open Cut,5,Bx,Gun Hill Rd,Dyre Av,IRT,503,444,444
POINT (-74.001775 40.719527),,0,Downtown & Brooklyn,Uptown & Queens,-74.001775,40.719527,Subway,R W,M,Canal St,Broadway,BMT,R23,623,18
POINT (-73.909831 40.874561),,0,Downtown,242 St,-73.909831,40.874561,Elevated,1,M,Marble Hill-225 St,Broadway - 7Av,IRT,106,296,296
POINT (-73.940858 40.679921),,0,Euclid Av,Manhattan,-73.940858,40.679921,Subway,C,Bk,Kingston-Throop Avs,8th Av - Fulton St,IND,A47,180,180
POINT (-74.00061 40.613501),,0,Coney Island,Manhattan,-74.00061,40.613501,Elevated,D,Bk,79 St,West End,BMT,B18,65,65
