,start_time,end_time,zone_name,state_value
150,365,369,Zone_3,0.0
151,365,369,Zone_4,0.0
152,370,374,Zone_1,0.0
153,370,374,Zone_2,0.0
154,370,374,Zone_3,0.0
155,370,374,Zone_4,0.04240868414982237
156,375,379,Zone_1,0.020069098100508134
157,375,379,Zone_2,0.0
158,375,379,Zone_3,0.0
159,375,379,Zone_4,0.0
160,380,384,Zone_1,0.0
161,380,384,Zone_2,0.0
162,380,384,Zone_3,0.0
163,380,384,Zone_4,0.0
164,385,389,Zone_1,0.04166754467190079
165,385,389,Zone_2,0.0
166,385,389,Zone_3,0.0
167,385,389,Zone_4,0.0
168,390,394,Zone_1,0.0
169,390,394,Zone_2,0.02038123517197787
170,390,394,Zone_3,0.0
171,390,394,Zone_4,0.0
172,395,399,Zone_1,0.06477140520778278
173,395,399,Zone_2,0.02082898580357183
