total_seconds,cell_id
47880,61570
47880,141464
47880,56870
47880,142477
47880,141490
47880,142069
47880,84621
47880,84983
47880,142138
47880,141439
47880,100226
47880,25480
47880,142509
47880,89701
47880,142480
47880,94777
47880,141459
47880,140709
47880,84983
47880,114876
47880,142092
47880,79044
47880,142422
47880,142132
47880,142146
47880,51423
47880,94414
47880,142514
47880,80059
47880,76202
47880,81085
47880,142551
47880,141011
47880,142588
47880,100226
47880,73710
47880,142161
47880,25480
47880,142155
47880,73710
47880,139977
47880,89694
47880,141049
47880,79500
47880,94777
47880,141020
47880,142149
47880,86332
47880,142112
47880,141408
47880,56870
47880,25480
47880,141770
47880,141031
47880,88247
47880,141428
47880,139525
47880,142509
47880,140327
47880,39597
47940,55677
47940,103887
47940,140681
47940,142152
47940,141445
47940,142520
47940,140689
47940,27245
47940,141028
47940,142534
47940,141844
47940,42502
47940,141080
47940,84983
47940,141753
47940,142545
47940,86075
47940,139899
47940,142172
47940,141461
47940,140629
47940,139954
47940,56828
47940,100260
47940,142556
47940,141356
47940,83490
47940,141767
47940,141080
47940,84983
47940,86075
47940,88247
47940,27245
47940,73710
47940,141793
47940,142206
47940,141470
47940,141810
47940,141074
47940,75862
47940,61570
47940,141464
47940,56870
47940,142477
47940,141490
47940,142069
47940,84621
47940,84983
47940,142138
47940,141439
47940,100226
47940,25480
47940,142509
47940,89701
47940,142480
47940,94777
47940,141459
47940,140709
47940,84983
47940,114876
47940,142092
47940,72845
47940,142422
47940,142132
47940,142146
47940,51423
47940,94414
47940,142514
47940,81170
47940,76202
47940,81085
47940,142551
47940,141011
47940,142588
47940,100226
47940,73710
47940,142161
47940,25480
47940,142155
47940,73710
47940,139977
47940,89694
47940,141049
47940,79500
47940,94777
47940,141020
47940,142149
47940,86332
47940,142112
47940,141408
47940,56870
47940,25480
47940,141770
47940,141031
47940,88247
47940,141428
47940,139525
47940,142509
47940,140327
47940,39597
48000,55677
48000,103887
48000,140681
48000,142152
48000,141445
48000,142520
48000,140689
48000,27245
48000,141028
48000,142534
48000,141844
48000,42502
48000,141080
48000,84983
48000,141753
48000,142545
48000,86075
48000,139899
48000,142172
48000,141461
48000,140629
48000,139954
48000,56828
48000,100260
48000,142556
48000,141356
48000,83490
48000,141767
48000,141080
48000,84983
48000,86075
48000,88247
48000,27245
48000,73710
48000,141793
48000,142206
48000,141470
48000,141810
48000,141074
48000,75862
48000,61570
48000,141464
48000,56870
48000,142477
48000,141490
48000,142069
48000,84621
48000,84983
48000,142138
48000,141439
48000,100226
48000,25480
48000,142509
48000,89701
48000,142480
48000,94777
48000,141459
48000,140709
48000,84983
48000,114876
48000,142092
48000,72845
48000,142422
48000,142132
48000,142146
48000,51423
48000,94414
48000,142514
48000,81170
48000,76202
48000,81085
48000,142551
48000,141011
48000,142588
48000,100226
48000,73710
48000,142161
48000,25480
48000,142155
48000,73710
48000,139977
48000,89694
48000,141049
48000,79500
48000,94777
48000,141020
48000,142149
48000,86332
48000,142112
48000,141408
48000,56870
48000,25480
48000,141770
48000,141031
48000,88247
48000,141428
48000,139525
48000,142509
48000,140327
48000,39597
48060,55677
48060,103887
48060,140681
48060,142152
48060,141445
48060,142520
48060,140689
48060,27245
48060,141028
48060,142534
48060,141844
48060,42502
48060,141080
